,name,price,mile_age,make,model,fuel,power,transmission,engine_size,description,linkofproduct,year
186,peugeot 205,8 600 DT,60000,Peugeot,205,Essence,4,Blanc,Manuelle,205 essence 4 chv 5 vitesse,https://www.tayara.tn/listings/voitures-9/9efa9e2d-5ac8-4b69-a8ee-2869bfec6ea3/peugeot-205,1995
187,Golf 7 Parachoc avant complet noir d'origine + calandre + 2 phares avant +,2 500 DT,0,Volkswagen,Golf 7,Essence,5,Noir,Berline,GOlf 7 Parachoc avant complet noir+ parachoc arrière complet noir+ 2 phares avant+ calendres + poste 3 boutons ( tout d'origine couleur noir ):,https://www.tayara.tn/listings/voitures-9/38af6650-77be-41d3-89fc-74d5d9e87e4d/golf-7-parachoc-avant-complet-noir-d'origine-+-calandre-+-2-phares-avant-+-,2015
188,seat,0 DT,85000,Seat,Leon,Diesel,5,Gris,Compacte,"a vendre seat leon confort-line 4 Portes diesel,en tres bon etat ,Année 2015 ,mechia 80.000 km ,PRIX = 54.000dt.",https://www.tayara.tn/listings/voitures-9/b866378a-c3a5-4b91-9012-3818e0ec1708/seat,2015
189,partner,13 500 DT,200,Citroen,Berlingo,Diesel,7777777,Autre,Autres,,https://www.tayara.tn/listings/voitures-9/98748799-1f3e-4e4c-b08a-930ea91093a0/partner,2003
190,a vendre ax,6 200 DT,300000,Citroen,AX,Essence,4,Blanc,Utilitaire,a vendre ax 4cv essence ndhifa tel 98576021 fi mateur,https://www.tayara.tn/listings/voitures-9/180f1c35-9e87-4e61-8ce5-4a4426ec07ee/a-vendre-ax,1996
191,Fiat siena essence neuuuuf,17 000 DT,166566,Fiat,Siena,Essence,5,Noir,Berline,avendre trés belle fiat siena phase 2 ndhifa barcha tt option kol chay en marche tt les vittres origine karhba ndhifa w mta3 kssiba 0 massrouf,https://www.tayara.tn/listings/voitures-9/da2874a9-2c40-4953-8063-6f87392b2aad/fiat-siena-essence-neuuuuf,2006
192,hyundai,68 000 DT,135000,Hyundai,Ix 35,Diesel,11,Gris,4 x 4,Hyundai ix 35 2.0 lt boite auto 4×4,https://www.tayara.tn/listings/voitures-9/4e8187b4-0767-41dd-bce4-13df87bb4dc8/hyundai,2015
193,Renault kangoo 1 ère main en très bonne état,24 000 DT,207000,Renault,Kangoo,Essence,5,Bleu,Autres,À vendre Renault Kangoo ndhiiiifa barcha jamais accidentée 1ère main.,https://www.tayara.tn/listings/voitures-9/8421e711-ab03-45b5-a224-59264710e1de/renault-kangoo-1-%C3%A8re-main-en-tr%C3%A8s-bonne-%C3%A9tat,2006
194,318 is tel 58 716 377,22 DT,150,BMW,Serie 3,Essence,9,Gris,Berline,kit m moteur 318 is karehba ndhifa barcha tel 58 716 377,https://www.tayara.tn/listings/voitures-9/4db646c5-fe85-4cba-98ad-44ecfb855b23/318-is-tel-58-716-377,1998
195,Seat leon 1.2 TSI,42 500 DT,90000,Seat,Leon,Essence,5,Gris,Compacte,A vendre voiture: Seat Leon 1.2 TSI référence,https://www.tayara.tn/listings/voitures-9/0aaab4f0-b7ad-4b2a-82e5-5fe8ff516f9d/seat-leon-1-2-tsi,2015
196,RENAULT CLIO 4,35 DT,71,Renault,Clio,Essence,5,Blanc,Compacte,RENAULT CLIO 4,https://www.tayara.tn/listings/voitures-9/0434501e-b01e-4e50-8c79-2f8658e740dd/renault-clio-4,2017
197,FIAT PANDA 1ÉRE MAIN,0 DT,55,Fiat,Panda,Essence,4,Manuelle,1.2,"FIAT PANDA 1.2L premiére main , 4 chevaux , 4 cylindre avec faible klm 55000 , just 5 vidange redsecour jamais utiliser à l'état d'origine voiture puissante et economique",https://www.tayara.tn/listings/voitures-9/c936a90a-e31d-4a83-b449-7b6e86355022/fiat-panda-1%C3%A9re-main,2015
198,partner b9,23 000 DT,220000,Peugeot,Partner,Diesel,5,Blanc,Autres,1.6 hdi année 2012 3 places montage français climatisé assisté radar de recule porte bagages porte latrale,https://www.tayara.tn/listings/voitures-9/762752e9-1bad-429e-ab4c-f3b1c8f28734/partner-b9,2012
199,punto3 essence gaz,16 000 DT,165000,Fiat,Punto,Essence,5,Bleu,Utilitaire,belle punto3 ess+ gaz modele 2008 tt option,https://www.tayara.tn/listings/voitures-9/3a7f5d81-b2e5-47e6-9ad2-473203570697/punto3-essence-gaz,2008
200,A vendre ou echange,30 500 DT,190000,Mercedes-Benz,220,Diesel,9,Autre,Monospace,Mercedes e220 w211 toutes options très propre boîte auto régulateur et limiteur de vitesse Radar de recul lo....tel24182425,https://www.tayara.tn/listings/voitures-9/eaf26ea1-7a8d-4ee4-a0d4-23a6fba80fd4/a-vendre-ou-echange,2004
201,Mitsubishi l200 4 porte,27 DT,280,Mitsubishi,L200,Diesel,10,Gris,Pick up,Modèle 2010,https://www.tayara.tn/listings/voitures-9/dd7fa12b-a71c-4e43-9c0c-c445375ed1ca/mitsubishi-l200-4-porte,2010
202,Citroën berlingo,15 500 DT,202000,Citroen,Berlingo,Diesel,6,Blanc,Cabriolet,A vendre Citroën berlingo,https://www.tayara.tn/listings/voitures-9/142e8c68-9f56-44a7-a037-fda6dd6ecb2a/citro%C3%ABn-berlingo-,2008
203,Polo 5,15 300 DT,190000,Volkswagen,Polo,Essence,4,Gris,Berline,Polo 5 nthifa barcha,https://www.tayara.tn/listings/voitures-9/4d16a809-3d83-4b86-984b-740a96af846b/polo-5,2003
204,bmw e34 525i m50b25,90 000 DT,250000,BMW,Serie 5,Essence,11,Manuelle,2.5,bmw e34 525i,https://www.tayara.tn/listings/voitures-9/88f9fb86-451b-4d56-b883-2a860de1f457/bmw-e34-525i-m50b25,1991
205,Passat b5,12 500 DT,300,Volkswagen,Passat,Diesel,5,Noir,Berline,Karhba 9wiya w kol Chay feha mbadil jdid,https://www.tayara.tn/listings/voitures-9/49093c7b-e724-4a29-801c-b7c8103d23a8/passat-b5,1999
206,Grand i10 modèle 2020.58083201,0 DT,22,Hyundai,Grand i10,Essence,5,Gris,Utilitaire,Grand i10 première mains toute option comme neuf modèle 2020,https://www.tayara.tn/listings/voitures-9/e819cdb3-580b-4e58-bde7-c9ac006e2a3a/grand-i10-mod%C3%A8le-2020-58083201,2020
207,peugeot 407,17 500 DT,400000,Peugeot,407,Essence,9,Noir,Berline,Essence 9 CV Fiscaux,https://www.tayara.tn/listings/voitures-9/4db2fc47-82c7-4b39-84a1-87b360685420/peugeot-407,2005
208,Citroen C4 Cactus,0 DT,65000,Citroen,C4 Cactus,Essence,4,Noir,Autres,C4 cactus,https://www.tayara.tn/listings/voitures-9/7e8501cf-34de-4607-b0bb-d7309705f64a/citroen-c4-cactus,2016
209,208 excellente etat,28 900 DT,89000,Peugeot,208,Essence,5,Argent,Compacte,*** Tel: 54.070.138 ***,https://www.tayara.tn/listings/voitures-9/989fbac9-c172-4801-8d60-30d74cca85f8/208-excellente-etat,2018
210,FIESTA3,5 100 DT,11111,Ford,Fiesta,Essence,4,Noir,Autres,4CV,https://www.tayara.tn/listings/voitures-9/9bd51587-31ea-4569-8b4e-134323771679/fiesta3,1996
211,à vendre D-max tout neuf,0 DT,156000,Isuzu,D-MAX,Diesel,10,Gris,Autres,A vendre D-max tout neuf,https://www.tayara.tn/listings/voitures-9/68790658-034d-4962-ad1c-fc89210a5743/%C3%A0-vendre-d-max-tout-neuf,2011
212,Peugeot 308,190 000 DT,230,Peugeot,308,Essence,0,Noir,Autres,23181467,https://www.tayara.tn/listings/voitures-9/57d3412a-b1f4-494f-a0dd-015d94303595/peugeot-308,2009
213,Ds5,48 DT,130,Citroen,DS5,Essence,9,Gris,Autres,A vendre une belle Ds5,https://www.tayara.tn/listings/voitures-9/0c1cb53f-05e7-4dde-9523-b34c53310af1/ds5,2013
214,à vendre,25 500 DT,145000,Citroen,Berlingo,Diesel,5,Noir,Autres,99575110,https://www.tayara.tn/listings/voitures-9/fed180a5-1914-4059-b0c9-4330e76dec09/%C3%A0-vendre,2016
215,ariana 93789545,0 DT,0,Peugeot,306,Diesel,6,Blanc,Berline,peujeot 306 11.000 D Bon État 93789545,https://www.tayara.tn/listings/voitures-9/01b5d174-f7be-46d1-81e3-f115c57632bc/ariana-93789545,2000
216,301 voitur 1main,20 DT,105,Peugeot,301,Essence,5,Noir,Autres,belle voiture tout opiton,https://www.tayara.tn/listings/voitures-9/0d7136c9-3b2c-4b5c-99a2-3168e8b25729/301-voitur-1main,2015
217,voiture,8 500 DT,423960,Citroen,Berlingo,Essence,1111,Blanc,Autres,Citroën berlingo esence en bonne état leli y7eb yechri wella ybadel num tlf 23769550,https://www.tayara.tn/listings/voitures-9/8d428d2e-01d6-458a-8725-3fdaace5f655/voiture,1999
218,Suzuki dezier ful option première main état neuf,0 DT,16000,Suzuki,Swift,Essence,5,Noir,Berline,Suzuki dezier ful option première main état neuf âge un ans très peut roule juste 16000 km moteur 4 cylindre très puissant avec radar de recul climatiseur automatique bouton start stop jante allum rétroviseur rabattable téléphone bluetooth volant multifonctions 4 vitre électrique ect..tel 96967682,https://www.tayara.tn/listings/voitures-9/fc40a81a-3db7-44f8-b932-97c56fada36b/suzuki-dezier-ful-option-premi%C3%A8re-main-%C3%A9tat-neuf,2019
219,caddy,31 000 DT,148000,Volkswagen,Caddy,Diesel,5,Blanc,Utilitaire,Caddy importée de France,https://www.tayara.tn/listings/voitures-9/58500bae-0802-44c6-803f-f8646c0f9b87/caddy,2014
220,kia rio neuf,0 DT,84000,Kia,Rio,Essence,5,Bleu,Autres,belle voiture kia rio neuf.,https://www.tayara.tn/listings/voitures-9/ed09b0dd-5605-463a-9296-eac5f85e4dc2/kia-rio-neuf,2018
221,Nisan juke boite auto,48 800 DT,130000,Nissan,Juke,Essence,7,Blanc,Berline,Nisan juke boite automatique,https://www.tayara.tn/listings/voitures-9/66c0ebed-ebe0-4ee3-a5f8-24bf6a4b3054/nisan-juke-boite-auto,2013
222,Renault symbole a vendre a sfax,15 600 DT,500,Renault,Symbol,Essence,5,Jaune,Compacte,Renault symbole a vendre,https://www.tayara.tn/listings/voitures-9/4036ad29-cd13-4b5e-85fd-8ca01b5f3959/renault-symbole-a-vendre-a-sfax,2012
223,Hyndai i10 97984055 52984924,0 DT,100,Hyundai,Grand i10,Essence,5,Noir,Compacte,Tout options,https://www.tayara.tn/listings/voitures-9/658fd9ed-5641-40cb-9f5b-c8e0759c8106/hyndai-i10-97984055-52984924,2015
224,Peugeot 306,11 000 DT,250000,Peugeot,306,Essence,6,Gris,Compacte,karahba mthifa,https://www.tayara.tn/listings/voitures-9/3c6ea8df-152f-46e0-962a-ef4ab0203ccc/peugeot-306,1994
225,Citroen zx essance gaz,9 000 DT,1111,Citroen,ZX,Essence,5,Autre,Manuelle,Avender ou echange voiture essance gaz moteur junior neuf w 4 pneux neuf,https://www.tayara.tn/listings/voitures-9/6f1b4904-dd2a-453f-ac1a-08317c7ba52b/citroen-zx-essance-gaz,1995
226,peugeot 301 allure phase 2,27 000 DT,105000,Peugeot,301,Essence,5,Blanc,Berline,a vendre une voiture peugeot 301 allure phase 2 tt options mechya 105 000 ndhifa 3omrha 3 ans,https://www.tayara.tn/listings/voitures-9/23d26199-df1a-4f55-8776-349d5f6a62e3/peugeot-301-allure-phase-2,2017
227,premier main toutes options,0 DT,204000,Renault,Clio,Essence,4,Noir,Berline,,https://www.tayara.tn/listings/voitures-9/62ccad6d-546e-42fa-aa2a-241a643ceb5e/premier-main-toutes-options,2002
228,PASSAT,34 000 DT,187000,Volkswagen,Passat,Diesel,8,Noir,Compacte,Passat B7 version confortline,https://www.tayara.tn/listings/voitures-9/611b2ab7-7859-4728-9a5e-96f012abdeca/passat-,2008
229,tola chwaya msaosa o moteur lézmo cigment.,5 500 DT,56000,Ford,Transit,Diesel,10,Utilitaire,Avec kilométrage,ford transit 1992.,https://www.tayara.tn/listings/voitures-9/d3f85a26-c09a-4af9-a71b-a7cbc753d8d7/tola-chwaya-msaosa-o-moteur-l%C3%A9zmo-cigment-,1992
230,Partner en bonne état,18 500 DT,260000,Peugeot,Partner,Diesel,7,Blanc,Berline,Partner en bonne état importé moteur normal,https://www.tayara.tn/listings/voitures-9/ad3859a7-19d6-46b0-a5d2-373aa58be379/partner-en-bonne-%C3%A9tat-,2009
231,Ford Fiesta,2 900 DT,260,Ford,Fiesta,Essence,4,Blanc,Compacte,essence moteur noir,https://www.tayara.tn/listings/voitures-9/63d9bf85-5865-4a0d-8ebc-8376214b1e86/ford-fiesta,1988
232,Audi fontome mazout 97398947,7 800 DT,230,Audi,80,Diesel,4,Bleu,4 x 4,Audi fontome 4 mazout,https://www.tayara.tn/listings/voitures-9/c1ccaf0b-c68a-4480-8e7d-a3f9c2d727ac/audi-fontome-mazout-97398947,85
233,Clio cable,18 700 DT,245000,Renault,Clio,Essence,5,Gris,Compacte,Bonne etat avec toutes options,https://www.tayara.tn/listings/voitures-9/6081b938-983d-4d33-86cc-48c25acd2fe8/clio-cable,2003
234,Partner 55575908 et 94377653,0 DT,458236,Citroen,Berlingo,Diesel,1,Blanc,Autres,sousse,https://www.tayara.tn/listings/voitures-9/97c5b2af-eaf1-478f-802e-7c938125c3ee/partner-55575908-et-94377653,2003
235,Seat ibiza,35 500 DT,120000,Seat,Ibiza,Essence,5,Gris,Nouveau,Num: 21 223 905,https://www.tayara.tn/listings/voitures-9/a47fa927-6394-486d-b65b-049263b0e208/seat-ibiza,2014
236,🔥 🚘 Reulault Symbole 🚘 🔥,0 DT,161000,Renault,Symbol,Essence,5,Marron,Compacte,🔥 🚘 Reulault Symbole 🚘 🔥,https://www.tayara.tn/listings/voitures-9/c46f2964-0c4b-4806-b9a3-051433be304a/%F0%9F%94%A5-%F0%9F%9A%98-reulault-symbole-%F0%9F%9A%98-%F0%9F%94%A5,2012
237,306 diesel,8 500 DT,400000,Peugeot,306,Diesel,6,Noir,Berline,306 diesel moteur 405 assistee vitre electric carrosseie et interieur impeccable tele 98457255,https://www.tayara.tn/listings/voitures-9/d5f59f21-32ff-4c2d-9bcf-1b66ca2da732/306-diesel,1999
238,PEUGEOT 106,0 DT,380,Peugeot,106,Essence,5,Blanc,Compacte,PEUGEOT 106,https://www.tayara.tn/listings/voitures-9/5247268e-9b1e-496b-ad40-01d211d63b37/peugeot-106,1998
239,vendre ou échange a hamamet BMW 320d e46 fase 2 diesel 8cv 2 litre kolha dorigin,25 DT,200000,BMW,M3,Diesel,8,Gris,Berline,a vendre ou échange a hamamet BMW 320d e46 fase 2 diesel 8cv 2 litre 9weia nare fel kais kolha fi d'origine keswa mte3 dar bolarat mte3 dar gent allue d'origine toi panoramique ouvrant 4 vitre électrique boit 6 pienture d'origine fiha chwaia 5bech me 7abitch le nedhenha le nemsha karhba toletha 3al 7did le mastik wela sondefaire nthifa nthifa vente ou échange bkarhba wo ziede flous,https://www.tayara.tn/listings/voitures-9/3297a304-8f57-4208-b605-0b6b2f1031b1/vendre-ou-%C3%A9change-a-hamamet-bmw-320d-e46-fase-2-diesel-8cv-2-litre-kolha-dorigin,2004
240,Opel corsa c,13 800 DT,256000,Opel,Corsa,Essence,4,Noir,Berline,Voiture très propre jamais accidentée vitres d'origine 4 pneus neufs (AMINE) climatiseur en marche direction assistée air bag,https://www.tayara.tn/listings/voitures-9/d083d9fd-c975-4385-a5e0-4b3b3ce6d179/opel-corsa-c,2005
241,VOITURE SYMBOLE,0 DT,250000,Renault,Symbol,Essence,5,Gris,Manuelle,VOITURE SYMBOLE EN BONNE ETAT A VENDRE.POUR PLUS D'INFORMATION : 90605518,https://www.tayara.tn/listings/voitures-9/5356f805-be65-48c5-99d2-d8ecdeb73b1d/voiture-symbole,2010
242,Fiat.,8 500 DT,250000,Fiat,Palio,Essence,8500,Nouveau,Manuelle,sidi el heni souse.,https://www.tayara.tn/listings/voitures-9/39345056-4900-475e-8389-c57b638973ca/fiat-,2000
243,CITROEN B9 première main,27 800 DT,170000,Citroen,Berlingo,Diesel,5,Blanc,Berline,CITROEN B9 première main ttop,https://www.tayara.tn/listings/voitures-9/d36bc9af-b87e-4446-ac0f-96ff03fbd4de/citroen-b9-premi%C3%A8re-main,2016
244,A vendre nissan juke 1 ère main,0 DT,99000,Nissan,Juke,Essence,7,Rouge,4 x 4,A vendre nissan juke,https://www.tayara.tn/listings/voitures-9/2e469c42-1c3c-4dfb-91cc-4dc9ccf7c17b/a-vendre-nissan-juke-1-%C3%A8re-main-,2015
245,PEUGEOT 301 PREMIERE MAIN EN ETAT NEUF,0 DT,60000,Peugeot,301,Essence,5,Manuelle,1.2,TELEPHONE 53886063,https://www.tayara.tn/listings/voitures-9/51115c80-be6b-47c5-8c4e-e7f9ebf77096/peugeot-301-premiere-main-en-etat-neuf,2017
246,AUDI Q5 quattro,0 DT,150000,Audi,Q5,Essence,13,Noir,4 x 4,◢ AUDI Q5 quattro ◣,https://www.tayara.tn/listings/voitures-9/f85bc724-1e4f-4e54-a2bd-0f185f78af47/audi-q5-quattro-,2012
247,106 ndhifa barcha 58333241,10 500 DT,300,Peugeot,106,Essence,4,Bleu,Autres,106 ndhifa barcha mte3 ksiba,https://www.tayara.tn/listings/voitures-9/2331a639-c0c2-4d4e-928e-eb6ac7a556d9/106-ndhifa-barcha-58333241,1979
248,Ds4,35 DT,200,Citroen,DS4,Essence,7,Noir,Berline,Voiture en très bon état,https://www.tayara.tn/listings/voitures-9/d3f368ba-f643-4747-acd9-a95359198774/ds4,2012
249,La nouvelle Clio 4 dynamique,35 000 DT,65000,Renault,Clio,Essence,5,Gris,Autres,A vendre Renault 4 dynamique,https://www.tayara.tn/listings/voitures-9/82ecd198-c25e-4535-b1a7-67d1692ac69e/la-nouvelle-clio-4-dynamique-,2017
250,iveco daily 35c15 1 er main boite 6 neuf 08/2015,46 000 DT,300000,Iveco,Daily,Diesel,10,Blanc,Berline,iveco daily 35c15 1 er main boite6 peinture origine modele 08/2015 10 cv gazoil 6 roues climatiseur en marche abs assiste cle double jamais touche tt entretient chez maison iveco moteur impecable 6 roues neuf,https://www.tayara.tn/listings/voitures-9/9ecd695f-d9b5-43aa-8cbd-7b4eefdcf739/iveco-daily-35c15-1-er-main-boite-6-neuf-08-2015,2015
251,Polo 7,26 000 DT,175000,Volkswagen,Polo,Essence,4,Gris,Compacte,,https://www.tayara.tn/listings/voitures-9/f49598e9-9d26-477e-b345-7fedf6728aca/polo-7,2011
252,Kia picanto neuuuf 30mklm,35 DT,32,Kia,Picanto,Essence,4,Doré,Compacte,État comme dans l'emballage,https://www.tayara.tn/listings/voitures-9/a09ef86b-45a4-4cbb-a8b7-6b233471bfd3/kia-picanto-neuuuf-30mklm-,2014
253,BMW 316i f30 confort package,87 000 DT,145000,BMW,Serie 3,Essence,7,Marron,Berline,⛔⛔BMW 316i confort package ⛔⛔,https://www.tayara.tn/listings/voitures-9/99cc7bc5-9c58-47c7-9bc0-4335e226d3a6/bmw-316i-f30-confort-package,2014
254,🇨🇵 4 3ajli neuuuf par 14,0 DT,0,Autres,Autres,Diesel,0,Argent,Utilitaire,🇨🇵 4 3ajli neuuuf par 14,https://www.tayara.tn/listings/voitures-9/742b37a5-94dc-445a-8623-f9cdb88effd1/%F0%9F%87%A8%F0%9F%87%B5-4-3ajli-neuuuf-par-14,0
255,A vendre (ou échange avec petite voiture ) DS 3 première main toutes options,0 DT,98,Citroen,DS3,Essence,5,Rouge,Berline,"A vendre (ou échange avec petite voiture )voiture DS 3 première main toutes options , état neuf",https://www.tayara.tn/listings/voitures-9/e3b95c3a-15c9-4442-a79a-b71f95db40b5/a-vendre-(ou-%C3%A9change-avec-petite-voiture-)-ds-3-premi%C3%A8re-main-toutes-options,2017
256,للبيع اوبال فكترا,12 000 DT,312000,Opel,Vectra,Diesel,7,Gris,Berline,للبيع اوبال فكترا مزوط في حالة متوسطة فيها السنكيام يلاشي ... هاتف 20102374,https://www.tayara.tn/listings/voitures-9/b323264b-18d6-4420-aa30-80a2a8141574/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A7%D9%88%D8%A8%D8%A7%D9%84-%D9%81%D9%83%D8%AA%D8%B1%D8%A7,2002
257,Citroen C1 phase 2,0 DT,90000,Citroen,C1,Essence,4,Rouge,Berline,A vendre Citroen C1 phase 2 4ch toutes option 2eme main tres propre,https://www.tayara.tn/listings/voitures-9/48ab3b9c-c426-498d-a12a-10ba52f5768e/citroen-c1-phase-2-,2015
258,partner 5place teppe,54 312 608 DT,152,Peugeot,Partner,Diesel,5,Bleu,Compacte,"B9 tepee 5 places, Ehdi en très bonne état, importer en 2017, jamais accidenté, toutes options, Climatronique en marche (glace), vitre, régulateur de vitesse, feu aouto, électrique, rétroviseurs électrique, accodoire, antibrouillard, poste d'origine avec commande au volant, ordinateur de bord, vitre teinte, double porte latéral, intérieur d'origine neuf, double clés disponible, équipé d'alarme méta système,......",https://www.tayara.tn/listings/voitures-9/736d1f24-b58c-4256-b595-d25bde509a86/partner-5place-teppe,2013
259,échange ou À vendre Mazda b2900 4×4,0 DT,264000,Mazda,B 2500,Diesel,12,Manuelle,2.9,À vendre Mazda 2500 12cv diesel en très bon état mécanique général impeccable très puissante et faible consommation,https://www.tayara.tn/listings/voitures-9/b9ea5ce8-a519-4a0f-9ac6-b09ad4940f27/%C3%A9change-ou-%C3%A0-vendre-mazda-b2900-4%C3%974,2002
260,opel astra H 1.4 essence d'une femme toute options presque neuf,22 000 DT,170000,Opel,Astra,Essence,5,Noir,Berline,opel astra III untilisé d'une femme moteur essence menanique 1.4 TWINPORT ENJOY 5P H magnifique état toute options,https://www.tayara.tn/listings/voitures-9/dc6c3404-c28b-4f12-af96-9c3c5c307b21/opel-astra-h-1-4-essence-d'une-femme-toute-options-presque-neuf,2006
261,Dacia logan,0 DT,400000,Dacia,Logan,Diesel,5,Blanc,Berline,Dacia 1.5 dci 1er main,https://www.tayara.tn/listings/voitures-9/175e1d43-b508-4ee7-a189-25cbbf55cf72/dacia-logan-,2009
262,Ford fiesta à vendre,8 800 DT,200,Ford,Fiesta,Essence,5,Gris,Cabriolet,ford fiesta lel bi3 en bonne état eli 7achtou ykalmni 3la 97812867,https://www.tayara.tn/listings/voitures-9/c1594a98-dd00-4bce-bb12-5e3fdbcb37e6/ford-fiesta-%C3%A0-vendre,1998
263,POLO 4,15 500 DT,237000,Volkswagen,Polo,Essence,4,Gris,Autres,Polo 4 ndhifa barcha mta3 ksiba toutes options avec climatiseur .. assisté /airbag/ vitre electrique / jante alu / anti brouillard avant .. 4 cheveaux / essence,https://www.tayara.tn/listings/voitures-9/023e80b0-21d1-4ba3-9e19-2b702c02b31f/polo-4,2000
264,RENAULT CLIO DYNAMIQUE,33 500 DT,70000,Renault,Clio,Essence,5,Manuelle,1.4,À VENDRE RENAULT CLIO DYNAMIQUE EN BONNE ÉTAT ET TOUTES OPTIONS,https://www.tayara.tn/listings/voitures-9/ae49aaff-e5f8-493d-9864-a26ba0d830b1/renault-clio-dynamique,2017
265,Polo 5,0 DT,130,Volkswagen,Polo,Essence,4,Vert,Compacte,"Polo 5 1ére main , climatiseur , assisté",https://www.tayara.tn/listings/voitures-9/f0f97730-c9a6-4582-8655-a2294171a62c/polo-5,2004
266,🏁 Range Rover Évoque Dynamique BVA 🏁,135 000 DT,240000,Land Rover,Range Rover Evoque,Essence,15,Automatique,2.0,🏁 Range Rover Évoque Dynamique BVA 🏁,https://www.tayara.tn/listings/voitures-9/282e0047-e5ad-4b97-8459-2e1c79a9f4d9/%F0%9F%8F%81-range-rover-%C3%A9voque-dynamique-bva-%F0%9F%8F%81-,2012
267,Voiture à vendre en bonne état,3 DT,3000,Renault,Laguna,Diesel,44,Blanc,Autres,Sans carte gris,https://www.tayara.tn/listings/voitures-9/c93af954-aa0b-43a8-aeab-c7327182e86d/voiture-%C3%A0-vendre-en-bonne-%C3%A9tat-,2010
268,polo 5,140 000 DT,250000,Volkswagen,Polo,Essence,4,Rouge,Compacte,karahba nthifa,https://www.tayara.tn/listings/voitures-9/a8efa1eb-1829-4202-9b6a-7a010c182f93/polo-5,2004
269,fiat punto francaise,11 700 DT,250000,Fiat,Punto,Essence,5,Vert,Compacte,jonte allm fermeture centrale,https://www.tayara.tn/listings/voitures-9/b035962c-af20-486a-a234-e2bfdf579b0f/fiat-punto-francaise,1998
270,Moteur 106,1 500 DT,150000,Peugeot,106,Essence,4,Manuelle,1.2,Moteur très propre,https://www.tayara.tn/listings/voitures-9/6a87c9e0-e49f-40d2-b44a-e9648ac6cc07/moteur-106,1998
271,Mercedes e 220 cdi,30 DT,210,Mercedes-Benz,220,Diesel,8,Bleu,Berline,toute option toula et motour impicabel ija jareb w ohkom,https://www.tayara.tn/listings/voitures-9/92e4da2e-873e-4984-8b88-cf38194d8ee0/mercedes-e-220-cdi,2006
272,vente ou echange c5 tte option essence,30 000 DT,130000,Citroen,C5,Essence,9,Manuelle,1.8,vente ou echange c5 2011 essence,https://www.tayara.tn/listings/voitures-9/6cfffb93-c616-4a34-8f19-fc81207ae304/vente-ou-echange-c5-tte-option-essence,2011
273,passat B7,30 800 DT,215000,Volkswagen,Passat,Diesel,8,Berline,Avec kilométrage,passat B7 tdi 2.0,https://www.tayara.tn/listings/voitures-9/47115dd4-7d46-479b-883d-348927297c6e/passat-b7,2007
274,moteur kia Rio modèle 2010/ 2011,0 DT,111,Kia,Rio,Essence,6,Manuelle,1.4,moteur kia Rio,https://www.tayara.tn/listings/voitures-9/cc6703ba-ab55-437a-9384-9e96c8974b6a/moteur-kia-rio-mod%C3%A8le-2010-2011,2011
275,POLO SEDAN 1.4 ESSENCE,36 000 DT,170000,Volkswagen,Polo,Essence,5,Marron,Berline,Trés bon état,https://www.tayara.tn/listings/voitures-9/a0f8200e-a9bb-45b1-911d-7e586f901791/polo-sedan-1-4-essence,2015
276,C-Elysée EXCLUSIVE esence premiere main,26 500 000 DT,82240,Citroen,C-Elysée,Essence,5,Gris,Berline,je met a vendre voiture citroen C-Elysée nouveau model EXCLUSIVE 5cv essence premiere main et toute options,https://www.tayara.tn/listings/voitures-9/326b790a-fd1f-4c41-bdbc-6b28f9439f40/c-elys%C3%A9e-exclusive-esence-premiere-main,2017
277,renault clio en bon etat n 46262128,14 300 DT,320,Renault,Clio,Essence,3,Bleu,Autres,BON ETAT,https://www.tayara.tn/listings/voitures-9/35a6fca8-2fdf-41a2-82ae-58e17fbd5892/renault-clio-en-bon-etat-n-46262128,1999
278,OPEL ASTRA H ESSENCE 1.2 05 CH,23 000 DT,190000,Opel,Astra,Electrique,5,Beige,Compacte,voiture très propre tout option avendre,https://www.tayara.tn/listings/voitures-9/de2094b5-52f1-49ad-b25d-391cb16dea5a/opel-astra-h-essence-1-2-05-ch,2007
279,Volkswagen Passat,0 DT,185000,Volkswagen,Passat,Diesel,6,Violet,Berline,Volkswagen Passat,https://www.tayara.tn/listings/voitures-9/ae514785-0fee-4f1c-b0b1-7641b787e24f/volkswagen-passat,2009
280,kenbo s3 7 places av ou ech,42 DT,39,Autres,Autres,Essence,7,Gris,Compacte,neuf toute options,https://www.tayara.tn/listings/voitures-9/5938dcad-9892-49eb-9201-df937010d9c2/kenbo-s3-7-places-av-ou-ech-,2018
281,RENAULT SYMBOL ELIGUANC,34 500 DT,70000,Renault,Symbol,Essence,5,Manuelle,1.4,À VENDRE RENAULT SYMBOL ELIGUANC EN BONNE ÉTAT ET TOUTES OPTIONS,https://www.tayara.tn/listings/voitures-9/f5e80f32-3583-40b7-8a67-be47ba364beb/renault-symbol-eliguanc,2017
282,r5 nthifa 4portes,4 000 DT,178000,Renault,R5,Essence,4,Blanc,Compacte,4portes,https://www.tayara.tn/listings/voitures-9/e0d391c8-0aeb-472f-845f-e92b5c6bba58/r5-nthifa-4portes,1982
